Triangle 0 (100, 125.98076211353316), (150.0, 100.0), (150.0, 137.5)
Triangle 1 (150.0, 100.0), (200.0, 74.01923788646684), (200.0, 111.51923788646684)
Triangle 2 (200.0, 111.51923788646684), (200.0, 149.01923788646684), (150.0, 137.5)
Triangle 3 (150.0, 100.0), (200.0, 111.51923788646684), (150.0, 137.5)
Triangle 4 (200.0, 74.01923788646684), (250.0, 74.01923788646683), (250.0, 111.51923788646683)
Triangle 5 (250.0, 74.01923788646683), (300, 99.99999999999999), (300.0, 137.5)
Triangle 6 (300.0, 137.5), (300.0, 175.0), (250.0, 111.51923788646683)
Triangle 7 (250.0, 74.01923788646683), (300.0, 137.5), (250.0, 111.51923788646683)
Triangle 8 (300.0, 175.0), (300.0, 212.5), (250.0, 149.01923788646684)
Triangle 9 (300.0, 212.5), (300, 250.0), (250.0, 186.51923788646684)
Triangle 10 (250.0, 186.51923788646684), (200.0, 149.01923788646684), (250.0, 149.01923788646684)
Triangle 11 (300.0, 212.5), (250.0, 186.51923788646684), (250.0, 149.01923788646684)
Triangle 12 (200.0, 74.01923788646684), (250.0, 111.51923788646683), (200.0, 111.51923788646684)
Triangle 13 (250.0, 111.51923788646683), (300.0, 175.0), (250.0, 149.01923788646684)
Triangle 14 (250.0, 149.01923788646684), (200.0, 149.01923788646684), (200.0, 111.51923788646684)
Triangle 15 (250.0, 111.51923788646683), (250.0, 149.01923788646684), (200.0, 111.51923788646684)
Triangle 16 (100, 125.98076211353316), (150.0, 137.5), (100.0, 163.48076211353316)
Triangle 17 (150.0, 137.5), (200.0, 149.01923788646684), (150.0, 175.0)
Triangle 18 (150.0, 175.0), (100.0, 200.98076211353316), (100.0, 163.48076211353316)
Triangle 19 (150.0, 137.5), (150.0, 175.0), (100.0, 163.48076211353316)
Triangle 20 (200.0, 149.01923788646684), (250.0, 186.51923788646684), (200.0, 186.51923788646684)
Triangle 21 (250.0, 186.51923788646684), (300, 250.0), (250.0, 224.01923788646684)
Triangle 22 (250.0, 224.01923788646684), (200.0, 224.01923788646684), (200.0, 186.51923788646684)
Triangle 23 (250.0, 186.51923788646684), (250.0, 224.01923788646684), (200.0, 186.51923788646684)
Triangle 24 (200.0, 224.01923788646684), (150.0, 250.0), (150.0, 212.5)
Triangle 25 (150.0, 250.0), (100, 275.98076211353316), (100.0, 238.48076211353316)
Triangle 26 (100.0, 238.48076211353316), (100.0, 200.98076211353316), (150.0, 212.5)
Triangle 27 (150.0, 250.0), (100.0, 238.48076211353316), (150.0, 212.5)
Triangle 28 (200.0, 149.01923788646684), (200.0, 186.51923788646684), (150.0, 175.0)
Triangle 29 (200.0, 186.51923788646684), (200.0, 224.01923788646684), (150.0, 212.5)
Triangle 30 (150.0, 212.5), (100.0, 200.98076211353316), (150.0, 175.0)
Triangle 31 (200.0, 186.51923788646684), (150.0, 212.5), (150.0, 175.0)
